rowname,V1,V2,model_names
loss,0.559825122356415,0.245607495307922,TFGPT2Model
auc,0.78228098154068,0.963757991790771,TFGPT2Model
val_loss,0.448985695838928,0.635270476341248,TFGPT2Model
val_auc,0.867825031280518,0.855400025844574,TFGPT2Model
loss,0.523191094398499,0.253391593694687,TFRobertaModel
auc,0.822929620742798,0.954732954502106,TFRobertaModel
val_loss,0.498315244913101,0.495664745569229,TFRobertaModel
val_auc,0.892175018787384,0.892712593078613,TFRobertaModel
loss,0.591742992401123,0.313754796981812,TFElectraModel
auc,0.737222373485565,0.939261674880981,TFElectraModel
val_loss,0.494326084852219,0.63808286190033,TFElectraModel
val_auc,0.844237506389618,0.845062434673309,TFElectraModel
